Ngram,Data,Partia
Żądam sprawiedliwości!,17-01-2008 06:22,PIS
Gdzie jest krzyż,08-11-2008 04:26,RP
Żądam sprawiedliwości!,07-06-2008 07:20,PSL
Nie chcę już nic.,19-03-2008 06:08,PSL
Żądam sprawiedliwości!,25-09-2008 09:55,PSL
Nie chcę już nic.,25-10-2008 07:48,PO
Banda matołów,18-07-2008 10:01,SLD
Polska jest be,24-11-2008 13:50,RP
Nie chcę już nic.,31-07-2008 23:16,RP
Banda matołów,03-05-2008 08:11,PO
Nie chcę już nic.,27-12-2008 10:17,PIS
Żądam sprawiedliwości!,23-01-2008 18:19,PSL
Polska jest super,22-09-2008 18:44,SLD
Banda matołów,10-09-2008 18:32,PIS
Niesioł siad,06-04-2008 06:10,PSL
Niesioł siad,20-05-2008 02:04,SLD
Nie chcę już nic.,17-12-2008 18:21,RP
Nie chcę już nic.,14-05-2008 18:27,RP
Gdzie jest krzyż,29-12-2008 01:50,PO
Polska jest super,25-08-2008 06:06,RP
Gdzie jest krzyż,07-02-2008 10:03,PO
Nie chcę już nic.,08-09-2008 05:00,PIS
Nie chcę już nic.,12-09-2008 10:15,SLD
Niesioł siad,24-03-2008 05:40,PO
Banda matołów,30-03-2008 12:29,SLD
Polska jest be,04-04-2008 10:37,SLD
Banda matołów,04-08-2008 08:40,PIS
Polska jest be,09-05-2008 22:17,PIS
Polska jest be,20-02-2008 10:08,PO
Żądam sprawiedliwości!,16-10-2008 07:21,SLD
Niesioł siad,23-11-2008 20:24,PIS
Gdzie jest krzyż,28-09-2008 21:13,RP
Polska jest be,24-07-2008 09:33,PIS
Żądam sprawiedliwości!,24-08-2008 22:13,PIS
Polska jest super,03-07-2008 21:06,PSL
Żądam sprawiedliwości!,26-09-2008 15:53,PO
Polska jest be,20-09-2008 09:57,PO
Polska jest be,20-05-2008 08:02,PIS
Polska jest be,31-08-2008 07:02,PO
Polska jest be,15-04-2008 12:14,SLD
Żądam sprawiedliwości!,16-09-2008 17:54,PSL
Niesioł siad,18-10-2008 19:33,PIS
Żądam sprawiedliwości!,26-01-2008 01:16,SLD
Balcerowicz musi odejść,17-12-2008 16:07,PSL
Balcerowicz musi odejść,05-05-2008 20:13,PO
Niesioł siad,18-05-2008 16:38,PO
Balcerowicz musi odejść,11-11-2008 14:08,RP
Żądam sprawiedliwości!,26-04-2008 01:47,PO
Banda matołów,25-11-2008 17:26,RP
Gdzie jest krzyż,06-03-2008 13:15,PIS
Nie chcę już nic.,07-08-2008 20:06,PO
Gdzie jest krzyż,09-01-2008 04:18,SLD
Balcerowicz musi odejść,15-03-2008 19:34,PSL
Polska jest super,20-11-2008 09:12,PIS
Balcerowicz musi odejść,06-07-2008 22:12,RP
Polska jest super,04-10-2008 09:42,RP
Polska jest be,24-10-2008 01:06,SLD
Balcerowicz musi odejść,08-09-2008 13:38,PSL
Gdzie jest krzyż,07-11-2008 14:54,PO
Gdzie jest krzyż,07-04-2008 00:41,PO
Balcerowicz musi odejść,20-09-2008 02:39,PIS
Niesioł siad,11-08-2008 18:18,PO
Balcerowicz musi odejść,10-06-2008 19:57,PSL
Niesioł siad,06-07-2008 00:12,RP
Żądam sprawiedliwości!,01-04-2008 13:26,PO
Żądam sprawiedliwości!,18-03-2008 14:53,SLD
Niesioł siad,26-09-2008 17:43,SLD
Gdzie jest krzyż,19-10-2008 09:45,SLD
Żądam sprawiedliwości!,19-06-2008 02:28,PO
Banda matołów,11-07-2008 09:43,PSL
Żądam sprawiedliwości!,14-11-2008 15:13,SLD
Gdzie jest krzyż,22-10-2008 06:23,PO
Żądam sprawiedliwości!,14-01-2008 15:38,RP
Niesioł siad,20-10-2008 13:18,SLD
Banda matołów,12-11-2008 16:24,PIS
Polska jest be,30-12-2008 04:43,PO
Gdzie jest krzyż,31-07-2008 13:45,PIS
Gdzie jest krzyż,24-09-2008 19:46,PIS
Gdzie jest krzyż,01-12-2008 17:46,SLD
Gdzie jest krzyż,18-12-2008 13:51,PO
Polska jest be,10-05-2008 18:50,RP
Banda matołów,08-02-2008 13:43,RP
Niesioł siad,30-05-2008 21:59,PIS
Gdzie jest krzyż,26-03-2008 21:50,PIS
Niesioł siad,21-02-2008 06:29,PSL
Banda matołów,04-09-2008 07:39,PSL
Balcerowicz musi odejść,13-02-2008 14:06,PO
Banda matołów,29-10-2008 06:15,PO
Nie chcę już nic.,05-04-2008 20:49,PO
Nie chcę już nic.,15-10-2008 01:20,SLD
Gdzie jest krzyż,12-01-2008 15:56,RP
Nie chcę już nic.,31-07-2008 12:51,PO
Banda matołów,19-06-2008 19:00,RP
Balcerowicz musi odejść,29-01-2008 08:54,PSL
Polska jest be,23-12-2008 18:30,PIS
Banda matołów,23-04-2008 04:07,PSL
Gdzie jest krzyż,03-10-2008 18:12,SLD
Żądam sprawiedliwości!,14-08-2008 03:45,PO
Niesioł siad,21-11-2008 20:06,SLD
Polska jest super,01-04-2008 17:44,SLD
Polska jest super,21-05-2008 23:06,PIS
Balcerowicz musi odejść,26-11-2008 13:38,SLD
Niesioł siad,03-03-2008 03:07,PO
Niesioł siad,27-12-2008 03:43,PIS
Polska jest super,27-03-2008 18:16,PO
Polska jest super,29-04-2008 22:24,PSL
Polska jest super,23-12-2008 12:24,RP
Nie chcę już nic.,04-04-2008 16:59,RP
Gdzie jest krzyż,02-10-2008 00:11,PSL
Polska jest super,29-04-2008 10:03,PSL
Niesioł siad,11-09-2008 21:33,RP
Nie chcę już nic.,18-06-2008 00:21,PIS
Balcerowicz musi odejść,10-07-2008 09:32,RP
Żądam sprawiedliwości!,09-05-2008 12:11,PIS
Polska jest super,27-03-2008 13:14,SLD
Balcerowicz musi odejść,13-09-2008 20:48,RP
Polska jest super,28-06-2008 08:21,RP
Banda matołów,06-03-2008 05:26,PO
Polska jest super,25-09-2008 17:07,PO
Balcerowicz musi odejść,24-06-2008 06:50,RP
Banda matołów,10-12-2008 10:02,PO
Niesioł siad,21-08-2008 22:01,RP
Gdzie jest krzyż,12-09-2008 23:29,PSL
Niesioł siad,15-10-2008 03:10,PSL
Balcerowicz musi odejść,26-02-2008 14:43,PIS
Polska jest super,08-02-2008 15:45,PSL
Żądam sprawiedliwości!,30-10-2008 03:40,RP
Polska jest be,25-08-2008 21:03,SLD
Polska jest be,20-04-2008 19:54,PSL
Polska jest super,06-11-2008 17:21,PO
Polska jest super,16-06-2008 02:23,PIS
Polska jest be,24-09-2008 11:38,PO
Nie chcę już nic.,18-08-2008 13:32,PSL
Nie chcę już nic.,04-05-2008 11:35,PSL
Niesioł siad,08-09-2008 18:59,SLD
Niesioł siad,07-01-2008 14:57,PO
Nie chcę już nic.,20-03-2008 15:12,PO
Gdzie jest krzyż,21-08-2008 07:37,PSL
Banda matołów,14-04-2008 10:05,SLD
Polska jest super,30-07-2008 15:25,PIS
Banda matołów,29-06-2008 16:39,RP
Nie chcę już nic.,20-05-2008 23:26,SLD
Nie chcę już nic.,13-08-2008 09:01,RP
Polska jest super,12-07-2008 22:27,RP
Banda matołów,15-01-2008 09:39,PO
Polska jest super,11-01-2008 08:12,PIS
Polska jest be,10-05-2008 19:41,PIS
Gdzie jest krzyż,04-03-2008 04:55,PIS
Polska jest be,10-01-2008 02:12,PIS
Niesioł siad,17-02-2008 20:21,RP
Banda matołów,04-11-2008 14:36,PIS
Polska jest be,28-10-2008 18:33,PSL
Nie chcę już nic.,13-07-2008 12:25,PIS
Niesioł siad,30-04-2008 23:44,PIS
Żądam sprawiedliwości!,13-07-2008 15:05,SLD
Polska jest be,02-04-2008 04:26,PIS
Banda matołów,29-12-2008 10:41,PO
Balcerowicz musi odejść,28-08-2008 19:41,SLD
Banda matołów,29-06-2008 23:39,PO
Gdzie jest krzyż,06-05-2008 06:43,RP
Polska jest be,25-04-2008 01:38,SLD
Balcerowicz musi odejść,15-09-2008 11:33,PIS
Niesioł siad,15-07-2008 11:29,SLD
Polska jest be,19-01-2008 01:15,PO
Nie chcę już nic.,28-03-2008 15:30,SLD
Balcerowicz musi odejść,19-09-2008 15:27,PIS
Niesioł siad,19-02-2008 09:40,PO
Polska jest super,10-06-2008 01:02,PSL
Balcerowicz musi odejść,27-10-2008 11:56,PSL
Nie chcę już nic.,10-03-2008 14:26,PO
Nie chcę już nic.,11-10-2008 16:03,PO
Nie chcę już nic.,20-08-2008 10:39,PIS
Niesioł siad,26-01-2008 14:08,PSL
Żądam sprawiedliwości!,12-02-2008 21:19,RP
Polska jest super,16-12-2008 05:27,PO
Nie chcę już nic.,02-08-2008 14:00,PSL
Balcerowicz musi odejść,20-09-2008 08:14,SLD
Nie chcę już nic.,22-07-2008 21:35,PIS
Polska jest be,14-10-2008 07:51,SLD
Polska jest be,03-03-2008 23:20,PIS
Polska jest be,05-10-2008 04:26,SLD
Nie chcę już nic.,27-02-2008 02:58,RP
Polska jest be,16-03-2008 16:45,PO
Nie chcę już nic.,28-09-2008 00:55,PSL
Niesioł siad,19-05-2008 04:06,PO
Gdzie jest krzyż,22-04-2008 09:10,SLD
Polska jest be,21-04-2008 11:06,PO
Polska jest super,05-12-2008 22:00,PO
Polska jest be,25-08-2008 07:40,PIS
Polska jest be,17-10-2008 10:17,SLD
Polska jest be,14-05-2008 18:24,RP
Banda matołów,13-11-2008 09:41,SLD
Nie chcę już nic.,01-06-2008 15:50,RP
Banda matołów,23-02-2008 21:51,PSL
Gdzie jest krzyż,22-04-2008 09:55,RP
Polska jest be,02-08-2008 01:23,SLD
Polska jest be,20-12-2008 09:15,PSL
Niesioł siad,16-01-2008 12:33,RP
Polska jest be,20-10-2008 11:33,RP
Żądam sprawiedliwości!,15-05-2008 21:08,SLD
Niesioł siad,28-10-2008 13:40,PIS
Banda matołów,26-04-2008 21:08,RP
Niesioł siad,22-03-2008 10:03,PIS
Nie chcę już nic.,03-03-2008 21:23,PO
Polska jest super,05-11-2008 16:44,PO
Niesioł siad,09-09-2008 23:02,PIS
Balcerowicz musi odejść,26-12-2008 05:56,PIS
Niesioł siad,06-01-2008 18:58,PIS
Balcerowicz musi odejść,07-07-2008 18:00,PSL
Banda matołów,24-03-2008 08:57,PIS
Polska jest super,07-08-2008 01:59,PIS
Nie chcę już nic.,26-10-2008 07:33,RP
Niesioł siad,08-02-2008 01:36,PIS
Polska jest be,19-04-2008 20:51,PSL
Polska jest super,29-05-2008 16:31,PO
Banda matołów,06-04-2008 19:30,PIS
Żądam sprawiedliwości!,01-05-2008 06:57,SLD
Polska jest be,06-03-2008 18:35,PO
Polska jest be,01-10-2008 14:59,PO
Polska jest super,02-04-2008 07:18,RP
Żądam sprawiedliwości!,11-03-2008 03:20,RP
Balcerowicz musi odejść,29-07-2008 17:43,PIS
Nie chcę już nic.,12-08-2008 08:50,PO
Żądam sprawiedliwości!,28-03-2008 19:14,RP
Nie chcę już nic.,02-05-2008 13:03,RP
Nie chcę już nic.,21-04-2008 07:01,RP
Polska jest super,25-08-2008 16:36,PO
Żądam sprawiedliwości!,23-05-2008 08:28,PO
Niesioł siad,20-06-2008 23:36,PO
Banda matołów,23-01-2008 04:24,SLD
Polska jest be,25-06-2008 15:12,RP
Niesioł siad,11-01-2008 09:59,SLD
Polska jest be,14-04-2008 08:24,PSL
Nie chcę już nic.,14-09-2008 23:58,SLD
Polska jest super,23-07-2008 12:09,PIS
Gdzie jest krzyż,26-09-2008 23:56,SLD
Żądam sprawiedliwości!,02-05-2008 18:48,PSL
Polska jest be,28-01-2008 14:03,PSL
Żądam sprawiedliwości!,28-03-2008 01:05,PIS
Niesioł siad,08-04-2008 08:39,RP
Balcerowicz musi odejść,17-07-2008 12:47,PIS
Polska jest be,31-08-2008 17:33,RP
Banda matołów,26-07-2008 13:49,PIS
Nie chcę już nic.,15-03-2008 12:28,PSL
Polska jest super,07-03-2008 04:27,PO
Balcerowicz musi odejść,20-01-2008 02:51,PSL
Polska jest super,22-11-2008 21:21,SLD
Polska jest be,17-06-2008 02:07,SLD
Banda matołów,18-08-2008 21:31,RP
Żądam sprawiedliwości!,24-07-2008 21:08,RP
Polska jest super,14-05-2008 04:41,SLD
Gdzie jest krzyż,22-06-2008 22:57,SLD
Niesioł siad,24-07-2008 11:21,SLD
Banda matołów,28-11-2008 03:43,PO
Żądam sprawiedliwości!,28-11-2008 02:27,PSL
Polska jest be,14-09-2008 22:40,PSL
Nie chcę już nic.,02-02-2008 16:29,PO
Banda matołów,10-12-2008 05:16,RP
Banda matołów,11-09-2008 23:13,PSL
Polska jest be,16-04-2008 06:26,PO
Niesioł siad,13-03-2008 04:22,PO
Nie chcę już nic.,07-08-2008 16:16,PIS
Niesioł siad,19-06-2008 18:24,PSL
Żądam sprawiedliwości!,18-12-2008 22:39,PIS
Niesioł siad,12-08-2008 13:28,PIS
Nie chcę już nic.,12-10-2008 12:29,RP
Żądam sprawiedliwości!,06-05-2008 19:18,PSL
Niesioł siad,07-02-2008 13:16,SLD
Polska jest super,12-08-2008 01:22,PO
Polska jest super,25-08-2008 22:46,PO
Polska jest super,10-07-2008 11:55,PSL
Żądam sprawiedliwości!,04-07-2008 21:23,PSL
Balcerowicz musi odejść,02-02-2008 04:01,PSL
Nie chcę już nic.,18-07-2008 05:03,RP
Polska jest be,30-12-2008 23:00,PIS
Banda matołów,05-02-2008 10:58,PIS
Balcerowicz musi odejść,01-01-2008 07:40,PSL
Gdzie jest krzyż,14-08-2008 11:44,PO
Niesioł siad,17-03-2008 14:03,PIS
Nie chcę już nic.,29-10-2008 03:09,PSL
Polska jest super,11-01-2008 14:04,PIS
Banda matołów,15-08-2008 02:05,SLD
Niesioł siad,17-02-2008 03:06,PO
Żądam sprawiedliwości!,24-11-2008 16:07,SLD
Polska jest be,13-04-2008 20:06,PO
Polska jest super,22-09-2008 09:45,SLD
Żądam sprawiedliwości!,06-09-2008 06:38,PO
Polska jest super,31-07-2008 07:08,RP
Polska jest be,17-12-2008 03:18,PO
Polska jest be,31-08-2008 13:43,PIS
Nie chcę już nic.,11-03-2008 14:19,PIS
Żądam sprawiedliwości!,07-08-2008 04:29,PIS
Nie chcę już nic.,15-01-2008 09:23,PSL
Żądam sprawiedliwości!,06-12-2008 12:52,PO
Polska jest super,20-02-2008 12:58,PIS
Polska jest super,16-06-2008 03:15,RP
Niesioł siad,21-02-2008 20:36,PSL
Żądam sprawiedliwości!,16-12-2008 17:27,PO
Gdzie jest krzyż,04-04-2008 00:39,PO
Polska jest be,31-07-2008 17:36,PIS
Gdzie jest krzyż,04-07-2008 20:45,RP
Banda matołów,17-02-2008 18:15,PIS
Balcerowicz musi odejść,10-01-2008 13:23,RP
Gdzie jest krzyż,24-05-2008 15:46,SLD
Balcerowicz musi odejść,02-07-2008 12:17,PSL
Gdzie jest krzyż,30-08-2008 01:52,PSL
Balcerowicz musi odejść,26-09-2008 00:04,SLD
Banda matołów,27-11-2008 19:49,PO
Polska jest be,03-07-2008 06:19,SLD
Niesioł siad,06-01-2008 12:04,PIS
Żądam sprawiedliwości!,29-04-2008 07:30,PIS
Gdzie jest krzyż,06-03-2008 11:37,PSL
Banda matołów,19-11-2008 02:21,PIS
Balcerowicz musi odejść,21-09-2008 14:32,PIS
Nie chcę już nic.,07-07-2008 14:59,RP
Balcerowicz musi odejść,10-03-2008 03:02,RP
Polska jest super,13-07-2008 01:41,PSL
Gdzie jest krzyż,27-11-2008 17:31,RP
Balcerowicz musi odejść,26-06-2008 04:49,PO
Gdzie jest krzyż,08-12-2008 10:34,RP
Nie chcę już nic.,25-05-2008 16:34,RP
Polska jest be,03-06-2008 04:48,SLD
Banda matołów,01-05-2008 03:48,SLD
Polska jest super,04-10-2008 09:35,PIS
Żądam sprawiedliwości!,02-09-2008 16:46,RP
Niesioł siad,18-10-2008 19:42,PO
Gdzie jest krzyż,20-09-2008 01:59,PIS
Banda matołów,11-04-2008 00:30,PO
Gdzie jest krzyż,27-08-2008 10:04,PO
Banda matołów,12-07-2008 08:28,PIS
Banda matołów,02-04-2008 22:18,PIS
Niesioł siad,13-05-2008 11:31,PIS
Niesioł siad,26-01-2008 05:41,RP
Polska jest be,15-04-2008 04:11,PIS
Niesioł siad,12-05-2008 16:19,PSL
Balcerowicz musi odejść,23-03-2008 07:17,PSL
Nie chcę już nic.,05-05-2008 23:49,PSL
Żądam sprawiedliwości!,09-11-2008 18:47,PO
Gdzie jest krzyż,01-07-2008 11:34,RP
Niesioł siad,21-11-2008 18:57,SLD
Gdzie jest krzyż,22-10-2008 15:26,PO
Niesioł siad,20-01-2008 10:50,PSL
Żądam sprawiedliwości!,28-02-2008 21:24,RP
Niesioł siad,24-12-2008 09:01,PSL
Polska jest super,02-06-2008 09:08,PIS
Balcerowicz musi odejść,14-10-2008 03:15,PO
Banda matołów,29-08-2008 17:23,PIS
Balcerowicz musi odejść,11-02-2008 02:28,PSL
Żądam sprawiedliwości!,22-02-2008 03:33,PO
Żądam sprawiedliwości!,26-01-2008 03:24,SLD
Balcerowicz musi odejść,11-01-2008 01:42,SLD
Żądam sprawiedliwości!,19-12-2008 21:52,PSL
Polska jest be,17-05-2008 23:27,PSL
Nie chcę już nic.,22-10-2008 19:22,PIS
Banda matołów,14-02-2008 04:30,PO
Żądam sprawiedliwości!,01-01-2008 19:48,PIS
Nie chcę już nic.,25-02-2008 13:19,PSL
Gdzie jest krzyż,24-10-2008 15:50,PSL
Niesioł siad,02-05-2008 02:34,PIS
Nie chcę już nic.,20-03-2008 12:03,PO
Gdzie jest krzyż,28-04-2008 19:38,PO
Balcerowicz musi odejść,21-04-2008 16:34,PSL
Żądam sprawiedliwości!,15-11-2008 09:39,RP
Banda matołów,01-09-2008 09:06,PSL
Nie chcę już nic.,19-11-2008 06:59,RP
Niesioł siad,20-03-2008 02:45,SLD
Niesioł siad,11-06-2008 16:09,RP
Niesioł siad,10-04-2008 17:00,PO
Polska jest be,07-12-2008 16:23,RP
Niesioł siad,26-06-2008 22:13,PSL
Banda matołów,26-10-2008 16:23,PIS
Żądam sprawiedliwości!,28-07-2008 20:16,RP
Polska jest super,15-08-2008 21:20,PIS
Polska jest super,13-04-2008 21:08,PIS
Banda matołów,15-09-2008 11:48,SLD
Żądam sprawiedliwości!,10-12-2008 03:38,PIS
Żądam sprawiedliwości!,24-05-2008 18:02,PO
Balcerowicz musi odejść,08-06-2008 21:30,PO
Niesioł siad,24-08-2008 17:06,RP
Balcerowicz musi odejść,30-05-2008 17:20,SLD
Polska jest super,19-08-2008 05:02,PIS
Niesioł siad,04-11-2008 12:42,PIS
Gdzie jest krzyż,17-06-2008 17:12,PSL
Polska jest be,11-10-2008 19:20,PSL
Niesioł siad,15-01-2008 06:31,PSL
Gdzie jest krzyż,07-03-2008 18:57,SLD
Polska jest super,24-05-2008 08:56,SLD
Polska jest be,21-01-2008 21:05,PIS
Polska jest be,14-02-2008 10:21,SLD
Banda matołów,21-08-2008 11:57,PSL
Nie chcę już nic.,27-05-2008 19:41,PIS
Balcerowicz musi odejść,26-03-2008 14:55,PIS
Polska jest super,05-04-2008 23:15,SLD
Żądam sprawiedliwości!,20-06-2008 05:37,PIS
Gdzie jest krzyż,10-04-2008 03:57,PO
Niesioł siad,12-12-2008 17:05,PSL
Gdzie jest krzyż,29-06-2008 11:21,RP
Banda matołów,29-08-2008 04:04,SLD
Żądam sprawiedliwości!,22-05-2008 08:25,RP
Polska jest super,02-02-2008 12:44,SLD
Żądam sprawiedliwości!,17-06-2008 04:25,PIS
Niesioł siad,18-02-2008 10:55,RP
Balcerowicz musi odejść,11-02-2008 01:56,RP
Nie chcę już nic.,31-12-2008 12:55,PSL
Niesioł siad,12-04-2008 15:45,PO
Nie chcę już nic.,21-10-2008 18:25,RP
Niesioł siad,14-11-2008 00:33,PSL
Gdzie jest krzyż,20-01-2008 00:37,PO
Niesioł siad,27-09-2008 16:47,PIS
Polska jest be,27-05-2008 02:19,PIS
Nie chcę już nic.,10-11-2008 20:15,PO
Balcerowicz musi odejść,08-10-2008 09:51,PO
Polska jest super,09-01-2008 16:57,PO
Polska jest super,22-04-2008 12:53,PO
Banda matołów,13-03-2008 10:06,SLD
Polska jest be,13-09-2008 16:58,PSL
Nie chcę już nic.,24-06-2008 13:18,PSL
Żądam sprawiedliwości!,08-04-2008 19:44,PSL
Balcerowicz musi odejść,08-11-2008 00:17,PSL
Polska jest be,19-01-2008 13:09,RP
Niesioł siad,29-03-2008 09:47,PO
Nie chcę już nic.,08-04-2008 02:39,SLD
Polska jest super,16-02-2008 11:10,PIS
Polska jest super,12-09-2008 17:37,PO
Gdzie jest krzyż,22-03-2008 12:43,PO
Nie chcę już nic.,10-03-2008 16:51,SLD
Gdzie jest krzyż,30-12-2008 10:39,RP
Banda matołów,04-05-2008 09:54,PO
Banda matołów,30-09-2008 13:13,PSL
Żądam sprawiedliwości!,26-04-2008 08:22,PIS
